Stake_Percent,Simulation_Run,Result,Finalization_Time
90,6,SUCCESS,2
2
90,7,SUCCESS,2
2
90,8,SUCCESS,2
2
90,9,SUCCESS,2
2
90,10,SUCCESS,2
2
90,11,SUCCESS,2
2
90,12,SUCCESS,2
2
90,13,SUCCESS,2
2
90,14,SUCCESS,2
2
90,15,SUCCESS,2
2
90,16,SUCCESS,2
2
90,17,SUCCESS,2
2
90,18,SUCCESS,2
2
90,19,SUCCESS,2
2
90,20,SUCCESS,2
2
90,21,SUCCESS,2
2
90,22,SUCCESS,2
2
90,23,SUCCESS,2
2
90,24,SUCCESS,2
2
90,25,SUCCESS,2
2
90,26,SUCCESS,2
2
90,27,SUCCESS,2
2
90,28,SUCCESS,2
2
90,29,SUCCESS,2
2
90,30,SUCCESS,2
2
90,31,SUCCESS,2
2
90,32,SUCCESS,2
2
90,33,SUCCESS,2
2
90,34,SUCCESS,2
2
90,35,SUCCESS,2
2
90,36,SUCCESS,2
2
90,37,SUCCESS,2
2
90,38,SUCCESS,2
2
90,39,SUCCESS,2
2
90,40,SUCCESS,2
2
90,41,SUCCESS,2
2
90,42,SUCCESS,2
2
90,43,SUCCESS,2
2
90,44,SUCCESS,2
2
90,45,SUCCESS,2
2
90,46,SUCCESS,2
2
90,47,SUCCESS,2
2
90,48,SUCCESS,2
2
90,49,SUCCESS,2
2
90,50,SUCCESS,2
2
90,51,SUCCESS,2
2
90,52,SUCCESS,2
2
90,53,SUCCESS,2
2
90,54,SUCCESS,2
2
90,55,SUCCESS,2
2
90,56,SUCCESS,2
2
90,57,SUCCESS,2
2
90,58,SUCCESS,2
2
90,59,SUCCESS,2
2
90,60,SUCCESS,2
2
90,61,SUCCESS,2
2
90,62,SUCCESS,2
2
90,63,SUCCESS,2
2
90,64,SUCCESS,2
2
90,65,SUCCESS,2
2
90,66,SUCCESS,2
2
90,67,SUCCESS,2
2
90,68,SUCCESS,2
2
90,69,SUCCESS,2
2
90,70,SUCCESS,2
2
90,71,SUCCESS,2
2
90,72,SUCCESS,2
2
90,73,SUCCESS,2
2
90,74,SUCCESS,2
2
90,75,SUCCESS,2
2
90,76,SUCCESS,2
2
90,77,SUCCESS,2
2
90,78,SUCCESS,2
2
90,79,SUCCESS,2
2
90,80,SUCCESS,2
2
90,81,SUCCESS,2
2
