Adversary_Stake,Test_Run,Result,Certificates_Formed
30,41,SUCCESS,
30,42,SUCCESS,
30,43,SUCCESS,
30,44,SUCCESS,
30,45,SUCCESS,
30,46,SUCCESS,
30,47,SUCCESS,
30,48,SUCCESS,
30,49,SUCCESS,
30,50,SUCCESS,
30,51,SUCCESS,
30,52,SUCCESS,
30,53,SUCCESS,
30,54,SUCCESS,
30,55,SUCCESS,
30,56,SUCCESS,
30,57,SUCCESS,
30,58,SUCCESS,
30,59,SUCCESS,
30,60,SUCCESS,
30,61,SUCCESS,
30,62,SUCCESS,
30,63,SUCCESS,
30,64,SUCCESS,
30,65,SUCCESS,
30,66,SUCCESS,
30,67,SUCCESS,
30,68,SUCCESS,
30,69,SUCCESS,
30,70,SUCCESS,
30,71,SUCCESS,
30,72,SUCCESS,
30,73,SUCCESS,
30,74,SUCCESS,
30,75,SUCCESS,
30,76,SUCCESS,
30,77,SUCCESS,
30,78,SUCCESS,
30,79,SUCCESS,
30,80,SUCCESS,
30,81,SUCCESS,
30,82,SUCCESS,
30,83,SUCCESS,
30,84,SUCCESS,
30,85,SUCCESS,
30,86,SUCCESS,
30,87,SUCCESS,
30,88,SUCCESS,
30,89,SUCCESS,
30,90,SUCCESS,
30,91,SUCCESS,
30,92,SUCCESS,
30,93,SUCCESS,
30,94,SUCCESS,
30,95,SUCCESS,
30,96,SUCCESS,
30,97,SUCCESS,
30,98,SUCCESS,
30,99,SUCCESS,
30,100,SUCCESS,
equivocation,20,1,FAILURE,2
equivocation,20,2,FAILURE,2
equivocation,20,3,FAILURE,2
equivocation,20,4,FAILURE,2
equivocation,20,5,FAILURE,2
equivocation,20,6,FAILURE,2
equivocation,20,7,FAILURE,2
equivocation,20,8,FAILURE,2
equivocation,20,9,FAILURE,2
equivocation,20,10,FAILURE,2
equivocation,20,11,FAILURE,2
equivocation,20,12,FAILURE,2
equivocation,20,13,FAILURE,2
equivocation,20,14,FAILURE,2
equivocation,20,15,FAILURE,2
equivocation,20,16,FAILURE,2
equivocation,20,17,FAILURE,2
equivocation,20,18,FAILURE,2
equivocation,20,19,FAILURE,2
equivocation,20,20,FAILURE,2
equivocation,20,21,FAILURE,2
equivocation,20,22,FAILURE,2
equivocation,20,23,FAILURE,2
equivocation,20,24,FAILURE,2
equivocation,20,25,FAILURE,2
equivocation,20,26,FAILURE,2
equivocation,20,27,FAILURE,2
equivocation,20,28,FAILURE,2
equivocation,20,29,FAILURE,2
equivocation,20,30,FAILURE,2
equivocation,20,31,FAILURE,2
equivocation,20,32,FAILURE,2
equivocation,20,33,FAILURE,2
equivocation,20,34,FAILURE,2
equivocation,20,35,FAILURE,2
equivocation,20,36,FAILURE,2
equivocation,20,37,FAILURE,2
equivocation,20,38,FAILURE,2
equivocation,20,39,FAILURE,2
equivocation,20,40,FAILURE,2
equivocation,20,41,FAILURE,2
equivocation,20,42,FAILURE,2
equivocation,20,43,FAILURE,2
equivocation,20,44,FAILURE,2
equivocation,20,45,FAILURE,2
equivocation,20,46,FAILURE,2
equivocation,20,47,FAILURE,2
equivocation,20,48,FAILURE,2
equivocation,20,49,FAILURE,2
equivocation,20,50,FAILURE,2
vote_splitting,20,1,FAILURE,2
vote_splitting,20,2,FAILURE,2
vote_splitting,20,3,FAILURE,2
vote_splitting,20,4,FAILURE,2
vote_splitting,20,5,FAILURE,2
vote_splitting,20,6,FAILURE,2
vote_splitting,20,7,FAILURE,2
vote_splitting,20,8,FAILURE,2
vote_splitting,20,9,FAILURE,2
vote_splitting,20,10,FAILURE,2
vote_splitting,20,11,FAILURE,2
vote_splitting,20,12,FAILURE,2
vote_splitting,20,13,FAILURE,2
vote_splitting,20,14,FAILURE,2
vote_splitting,20,15,FAILURE,2
vote_splitting,20,16,FAILURE,2
vote_splitting,20,17,FAILURE,2
vote_splitting,20,18,FAILURE,2
vote_splitting,20,19,FAILURE,2
vote_splitting,20,20,FAILURE,2
vote_splitting,20,21,FAILURE,2
vote_splitting,20,22,FAILURE,2
vote_splitting,20,23,FAILURE,2
vote_splitting,20,24,FAILURE,2
vote_splitting,20,25,FAILURE,2
vote_splitting,20,26,FAILURE,2
vote_splitting,20,27,FAILURE,2
vote_splitting,20,28,FAILURE,2
vote_splitting,20,29,FAILURE,2
vote_splitting,20,30,FAILURE,2
vote_splitting,20,31,FAILURE,2
vote_splitting,20,32,FAILURE,2
vote_splitting,20,33,FAILURE,2
vote_splitting,20,34,FAILURE,2
vote_splitting,20,35,FAILURE,2
vote_splitting,20,36,FAILURE,2
vote_splitting,20,37,FAILURE,2
vote_splitting,20,38,FAILURE,2
vote_splitting,20,39,FAILURE,2
vote_splitting,20,40,FAILURE,2
vote_splitting,20,41,FAILURE,2
vote_splitting,20,42,FAILURE,2
vote_splitting,20,43,FAILURE,2
vote_splitting,20,44,FAILURE,2
vote_splitting,20,45,FAILURE,2
vote_splitting,20,46,FAILURE,2
vote_splitting,20,47,FAILURE,2
vote_splitting,20,48,FAILURE,2
vote_splitting,20,49,FAILURE,2
vote_splitting,20,50,FAILURE,2
nothing_at_stake,20,1,FAILURE,2
nothing_at_stake,20,2,FAILURE,2
nothing_at_stake,20,3,FAILURE,2
nothing_at_stake,20,4,FAILURE,2
nothing_at_stake,20,5,FAILURE,2
nothing_at_stake,20,6,FAILURE,2
nothing_at_stake,20,7,FAILURE,2
nothing_at_stake,20,8,FAILURE,2
nothing_at_stake,20,9,FAILURE,2
nothing_at_stake,20,10,FAILURE,2
nothing_at_stake,20,11,FAILURE,2
nothing_at_stake,20,12,FAILURE,2
nothing_at_stake,20,13,FAILURE,2
nothing_at_stake,20,14,FAILURE,2
nothing_at_stake,20,15,FAILURE,2
nothing_at_stake,20,16,FAILURE,2
nothing_at_stake,20,17,FAILURE,2
nothing_at_stake,20,18,FAILURE,2
nothing_at_stake,20,19,FAILURE,2
nothing_at_stake,20,20,FAILURE,2
nothing_at_stake,20,21,FAILURE,2
nothing_at_stake,20,22,FAILURE,2
nothing_at_stake,20,23,FAILURE,2
nothing_at_stake,20,24,FAILURE,2
nothing_at_stake,20,25,FAILURE,2
nothing_at_stake,20,26,FAILURE,2
nothing_at_stake,20,27,FAILURE,2
nothing_at_stake,20,28,FAILURE,2
nothing_at_stake,20,29,FAILURE,2
nothing_at_stake,20,30,FAILURE,2
nothing_at_stake,20,31,FAILURE,2
