Test_Type,Node_Count,Fanout,Test_Run,Result,Details
stake_weighted,50,3,7,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,8,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,9,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,10,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,11,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,12,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,13,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,14,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,15,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,16,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,17,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,18,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,19,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,20,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,21,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,22,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,23,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,24,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,25,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,26,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,27,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,28,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,29,SUCCESS,Valid stake-weighted selection
stake_weighted,50,3,30,SUCCESS,Valid stake-weighted selection
fanout,20,2,1,SUCCESS,Valid fanout optimization
fanout,20,2,2,SUCCESS,Valid fanout optimization
fanout,20,2,3,SUCCESS,Valid fanout optimization
fanout,20,2,4,SUCCESS,Valid fanout optimization
fanout,20,2,5,SUCCESS,Valid fanout optimization
fanout,20,2,6,SUCCESS,Valid fanout optimization
fanout,20,2,7,SUCCESS,Valid fanout optimization
fanout,20,2,8,SUCCESS,Valid fanout optimization
fanout,20,2,9,SUCCESS,Valid fanout optimization
fanout,20,2,10,SUCCESS,Valid fanout optimization
fanout,20,2,11,SUCCESS,Valid fanout optimization
fanout,20,2,12,SUCCESS,Valid fanout optimization
fanout,20,2,13,SUCCESS,Valid fanout optimization
fanout,20,2,14,SUCCESS,Valid fanout optimization
fanout,20,2,15,SUCCESS,Valid fanout optimization
fanout,20,2,16,SUCCESS,Valid fanout optimization
fanout,20,2,17,SUCCESS,Valid fanout optimization
fanout,20,2,18,SUCCESS,Valid fanout optimization
fanout,20,2,19,SUCCESS,Valid fanout optimization
fanout,20,2,20,SUCCESS,Valid fanout optimization
fanout,20,2,21,SUCCESS,Valid fanout optimization
fanout,20,2,22,SUCCESS,Valid fanout optimization
fanout,20,2,23,SUCCESS,Valid fanout optimization
fanout,20,2,24,SUCCESS,Valid fanout optimization
fanout,20,2,25,SUCCESS,Valid fanout optimization
fanout,20,2,26,SUCCESS,Valid fanout optimization
fanout,20,2,27,SUCCESS,Valid fanout optimization
fanout,20,2,28,SUCCESS,Valid fanout optimization
fanout,20,2,29,SUCCESS,Valid fanout optimization
fanout,20,2,30,SUCCESS,Valid fanout optimization
fanout,20,3,1,SUCCESS,Valid fanout optimization
fanout,20,3,2,SUCCESS,Valid fanout optimization
